8500, 20.175, 19.09, 12.266, 18.246, 15.715, 16.485, 17.337, 15.492, 15.885, 14.081, 15.142, 19.668, 16.052, 21.837, 17.646, 23.063, 17.489, 8.79, 16.536, 19.724, 17.342, 21.718, 26.226, 25.05, 0.935, -0.504, 0.428, 0.722, 0.742, 0.276, 1.351, 0.742
9000, 21.9, 22.267, 14.326, 19.893, 16.52, 17.818, 18.695, 16.019, 16.48, 14.663, 16.319, 20.162, 17.072, 22.337, 19.058, 25.02, 17.61, 11.115, 19.303, 22.019, 19.217, 21.13, 21.35, 25.824, 1.13, -1.307, -0.999, 0.175, 0.662, -0.056, 0.115, -0.491
9500, 22.247, 25.275, 12.543, 22.422, 19.298, 18.229, 20.788, 15.963, 17.808, 15.913, 16.706, 22.359, 17.466, 23.826, 16.63, 23.428, 18.15, 8.301, 18.381, 24.599, 20.811, 19.191, 25.714, 28.544, 1.33, -0.342, -0.74, 0.522, -0.595, -0.854, 0.291, 0.844
10000, 23.343, 26.334, 10.362, 21.717, 17.563, 16.113, 23.151, 13.402, 17.788, 15.605, 17.163, 21.1, 17.818, 22.615, 19.229, 20.445, 18.765, 13.442, 19.069, 22.629, 16.265, 16.249, 25.607, 26.526, -0.234, -1.223, -1.272, 0.101, -0.543, -0.068, 0.281, 0.073
10500, 19.805, 26.73, 9.472, 20.735, 16.389, 17.091, 23.464, 14.451, 17.854, 15.398, 18.697, 22.336, 17.55, 23.023, 22.754, 22.425, 19.103, 11.81, 16.734, 21.52, 16.113, 17.106, 26.829, 23.403, 0.271, -0.854, -0.851, -0.005, 0.213, -0.388, -0.314, 0.119
11000, 23.895, 28.14, 11.239, 23.537, 16.005, 17.795, 24.058, 16.26, 20.849, 17.446, 19.1, 23.981, 18.665, 26.379, 21.727, 23.764, 19.818, 11.959, 19.928, 24.241, 16.581, 17.973, 27.057, 24.854, 0.306, 0.358, 0.206, 0.629, 0.393, -0.115, 0.765, 1.378
11500, 23.828, 27.313, 11.2, 21.214, 17.096, 19.498, 26.451, 15.312, 19.995, 18.543, 20.588, 24.477, 19.414, 26.398, 22.518, 25.078, 20.235, 10.759, 20.76, 27.148, 20.253, 19.719, 25.377, 24.13, 1.161, -0.013, -0.279, 0.53, 0.357, 0.383, 0.803, 0.54
12000, 21.942, 27.115, 11.842, 24.248, 16.932, 19.64, 25.869, 12.937, 21.521, 17.996, 20.314, 25.558, 18.571, 25.997, 23.071, 22.847, 18.298, 12.602, 20.559, 22.264, 19.961, 17.762, 26.477, 26.837, -0.138, -0.683, -1.111, -0.341, -0.306, -0.18, 0.22, -0.625
12500, 25.425, 28.141, 9.667, 23.588, 17.509, 18.984, 26.659, 16.952, 21.335, 18.67, 19.947, 22.65, 18.925, 27.059, 23.19, 21.578, 21.442, 16.427, 20.261, 21.979, 17.615, 17.415, 27.979, 25.592, 0.162, -0.879, -0.689, -0.279, -0.651, -0.588, 0.048, -0.22
13000, 28.161, 28.699, 11.437, 25.441, 19.254, 22.954, 29.188, 16.464, 23.048, 20.162, 22.484, 26.215, 21.362, 28.998, 24.239, 25.944, 20.262, 16.824, 22.557, 26.987, 19.451, 19.64, 31.129, 29.405, 0.809, -0.919, 0.704, 0.508, 0.248, -0.334, -0.15, 0.54
